IP,Time,URL,Status
147.254.196.117,[26/Apr/2020:00:00:00 +0400],/process.php?user=admin';--,302
42.58.117.23,[08/Nov/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,404
190.215.21.76,[04/Dec/2020:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",200
125.36.201.46,[26/Jun/2020:00:00:00 +0400],/search.php?q=example' AND 1=1--,404
100.210.194.112,[04/Jan/2019:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
174.27.95.41,[04/Nov/2020:00:00:00 +0300],/search.php?q=example' AND 1=1--,302
109.20.14.43,[21/Mar/2019:00:00:00 +0100],/search.php?q=example' AND 1=1--,302
173.244.59.94,[22/Nov/2020:00:00:00 +0900],/search.php?q=example' AND 1=1--,404
142.10.251.220,[03/Mar/2020:00:00:00 +0700],"/view.php?id=2 UNION SELECT 1,2,3--",302
102.71.206.216,[03/Mar/2020:00:00:00 +0500],/search.php?q=example' AND 1=1--,302
140.185.205.223,[27/Jun/2020:00:00:00 +0900],/process.php?user=admin';--,404
176.222.80.53,[07/Aug/2020:00:00:00 +0500],/search.php?q=example' AND 1=1--,302
29.189.123.6,[09/Sep/2020:00:00:00 +0000],/search.php?q=example' AND 1=1--,302
182.33.40.29,[22/Jan/2019:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",200
140.55.79.12,[08/Dec/2019:00:00:00 +0600],"/view.php?id=2 UNION SELECT 1,2,3--",200
212.128.163.79,[17/Mar/2019:00:00:00 +0700],/login.php?id=1' or '1'='1,302
4.203.11.87,[14/Jan/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,200
103.214.61.209,[26/Jan/2020:00:00:00 +0400],/products.php?id=5; DROP TABLE users--,200
5.95.56.199,[10/Oct/2020:00:00:00 +0300],/login.php?id=1' or '1'='1,302
96.189.41.194,[22/Mar/2020:00:00:00 +0800],/search.php?q=example' AND 1=1--,302
50.58.91.61,[19/Oct/2020:00:00:00 +0000],/process.php?user=admin';--,200
251.219.206.138,[17/Aug/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,302
72.12.158.14,[18/Oct/2019:00:00:00 +0700],/process.php?user=admin';--,404
61.228.252.97,[26/Feb/2020:00:00:00 +0100],/search.php?q=example' AND 1=1--,302
