IP,Time,URL,Status
10.25.255.255,[26/Jan/2018:04:50:43,GET /data/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.242.180.20,[30/Mar/2018:22:20:06,GET /files/user/files/docs/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.153.133.47,[05/Mar/2018:11:56:54,POST /user/data/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.123.63.175,[08/Feb/2018:08:46:29,POST /files/home/files/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.118.74.11,[20/Jan/2018:13:19:55,POST /home/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.96.126.5,[28/Feb/2018:06:15:55,POST /user/home/data/home/?id=1; UNION FROM users;-- HTTP/1.1,404
10.179.230.85,[15/Mar/2018:03:12:49,POST /files/home/?id=1; DROP FROM users;-- HTTP/1.1,302
10.191.24.191,[07/Dec/2017:15:37:56,GET /home/files/data/user/?id=1; DROP FROM users;-- HTTP/1.1,200
10.8.11.158,[25/Nov/2017:06:45:19,POST /data/docs/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.231.228.154,[02/Dec/2017:18:57:14,POST /user/docs/files/docs/?id=1; UNION FROM users;-- HTTP/1.1,200
10.184.211.118,[12/Dec/2017:11:14:43,POST /home/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.71.24.139,[14/Nov/2017:11:48:32,POST /files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.6.124.122,[14/Jan/2018:21:41:49,POST /docs/data/data/home/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.20.71.207,[14/Dec/2017:10:08:55,GET /data/home/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.128.28.55,[23/Jan/2018:23:07:45,GET /user/files/data/docs/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.239.192.161,[16/Dec/2017:23:28:07,POST /home/user/user/docs/?id=1; DROP FROM users;-- HTTP/1.1,404
10.251.56.247,[16/Nov/2017:01:19:55,POST /user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.146.3.8,[08/Nov/2017:08:10:07,GET /docs/user/docs/user/?id=1; DROP FROM users;-- HTTP/1.1,200
10.170.84.93,[14/Jan/2018:10:51:42,POST /home/data/docs/?id=1; DROP FROM users;-- HTTP/1.1,200
10.43.117.166,[13/Nov/2017:01:01:40,POST /data/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.185.46.252,[03/Dec/2017:05:21:23,GET /user/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.135.54.165,[19/Dec/2017:11:36:00,POST /user/home/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.118.4.144,[18/Feb/2018:12:06:48,GET /user/files/data/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.208.233.164,[07/Dec/2017:05:46:58,POST /files/data/user/?id=1; UNION FROM users;-- HTTP/1.1,200
10.180.235.123,[30/Jan/2018:20:39:10,POST /files/docs/user/files/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.34.84.83,[25/Feb/2018:07:16:38,POST /user/?id=1; DROP FROM users;-- HTTP/1.1,302
10.145.200.92,[10/Mar/2018:22:41:59,GET /home/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.10.50.131,[22/Mar/2018:07:25:13,POST /data/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.119.86.139,[06/Dec/2017:21:10:04,POST /home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.101.142.104,[22/Dec/2017:19:41:45,GET /user/data/?id=1; UNION FROM users;-- HTTP/1.1,404
10.60.186.239,[10/Dec/2017:04:43:46,POST /docs/user/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.185.75.101,[23/Mar/2018:08:55:20,POST /user/user/user/?id=1; UNION FROM users;-- HTTP/1.1,404
10.173.192.248,[31/Jan/2018:17:45:53,POST /data/home/data/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.54.173.223,[07/Jan/2018:21:19:57,POST /user/data/docs/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.168.95.40,[05/Dec/2017:02:19:27,POST /home/files/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.152.38.226,[20/Jan/2018:19:19:13,POST /home/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.126.238.31,[27/Dec/2017:21:08:29,POST /files/files/home/files/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.251.107.150,[01/Dec/2017:09:29:48,GET /home/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.167.174.65,[28/Nov/2017:15:56:20,GET /user/home/files/data/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.153.43.175,[03/Feb/2018:02:02:37,POST /data/data/data/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.211.50.150,[28/Mar/2018:03:14:46,GET /files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.86.2.243,[03/Feb/2018:18:24:59,GET /docs/docs/?id=1; UNION FROM users;-- HTTP/1.1,200
10.160.242.116,[08/Feb/2018:23:29:17,GET /files/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.253.110.38,[20/Jan/2018:23:37:54,GET /files/?id=1; DROP FROM users;-- HTTP/1.1,404
10.92.146.211,[21/Dec/2017:08:03:22,POST /user/docs/home/?id=1; DROP FROM users;-- HTTP/1.1,302
10.49.128.35,[06/Dec/2017:18:03:33,POST /data/docs/user/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.227.61.128,[10/Jan/2018:20:58:13,POST /user/docs/home/?id=1; DROP FROM users;-- HTTP/1.1,404
10.16.161.159,[10/Jan/2018:08:41:38,POST /user/user/docs/docs/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.71.192.115,[05/Mar/2018:19:12:33,POST /user/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.176.210.197,[24/Feb/2018:16:10:51,POST /data/data/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.13.255.163,[14/Mar/2018:17:42:09,POST /files/docs/docs/home/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.0.209.223,[24/Dec/2017:10:44:05,GET /data/data/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.64.64.251,[21/Jan/2018:12:52:38,POST /home/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.13.67.47,[05/Jan/2018:02:55:50,POST /docs/docs/user/?id=1; DROP FROM users;-- HTTP/1.1,404
10.198.41.174,[21/Nov/2017:22:10:11,POST /data/home/files/?id=1; UNION FROM users;-- HTTP/1.1,200
10.201.33.103,[19/Feb/2018:20:01:20,POST /home/files/data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.107.173.145,[11/Nov/2017:21:18:36,GET /docs/home/?id=1; DROP FROM users;-- HTTP/1.1,200
10.101.29.10,[11/Jan/2018:04:57:18,GET /data/data/files/data/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.146.189.231,[15/Jan/2018:15:11:06,POST /docs/home/?id=1; UNION FROM users;-- HTTP/1.1,302
10.41.103.255,[07/Mar/2018:16:58:23,POST /home/files/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.204.141.222,[01/Mar/2018:00:42:36,GET /user/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.125.139.69,[17/Dec/2017:22:10:55,GET /docs/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.199.30.93,[17/Nov/2017:11:49:50,POST /files/data/?id=1; DROP FROM users;-- HTTP/1.1,200
10.6.102.76,[03/Nov/2017:01:43:22,POST /data/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.84.111.83,[18/Mar/2018:08:03:04,POST /home/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.155.212.122,[25/Feb/2018:19:46:22,POST /data/home/?id=1; DROP FROM users;-- HTTP/1.1,200
10.72.171.217,[10/Dec/2017:14:00:18,POST /user/user/docs/user/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.144.123.94,[07/Mar/2018:15:35:52,POST /home/docs/docs/data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.225.47.250,[11/Mar/2018:15:59:57,POST /user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.141.20.217,[02/Jan/2018:06:12:32,POST /files/user/data/?id=1; DELETE FROM users;-- HTTP/1.1,404
